Title;Year;Authors;Abstract;Source Title;Library;DOI;Column1;Column2
An MEC-based Platform for IoT Applications;2024;Chen, Whai-En;"The key technologies for the future development of mobile communications are: Provide end-to-end ultra-low latency, reliability and availability; Provide different network slices according to different business needs; Provide edge computing power; Smart network manage. Ultra-low latency and reliability and the ability to handle large-scale Internet of Things (IoT) connections are two important requirements. However, this cannot be achieved by simply improving the performance of wireless transmission (e.g. the radio access network). It is also necessary to improve the core network and creates edge computing platforms to achieve this goal. To address this issue, this article develops and deploys a mobile edge computing platform, also known as a multi-access edge computing (MEC) platform, to meet the requirements of ultra-low latency, high reliability, and massive connections. This article takes a smart pig farm as an example to demonstrate the design and deployment of an MEC applications. Specifically, this article develops an IoT system for the pig farm on the MEC platform and creates a virtualized MEC application to provide real-time packet processing and image recognition for the pig farm monitoring. In addition, this paper analyzes the performance of this MEC App, including the recognition accuracy and the latency in error recovery of the MEC App.";Proceedings of the 2023 International Conference on Intelligent Computing and Its Emerging Applications;ACM;10.1145/3659154.3659192;;
An All-wireless SDN Framework for BLE Mesh;2020;"Murillo, Yuri; Chiumento, Alessandro; Reynders, Brecht; Pollin, Sofie";The Internet of Things (IoT) paradigm combines the interconnection of massive amounts of battery-constrained and low-computational-power devices with low-latency and high-reliability network requirements. Additionally, diverse end-to-end services and applications with different Quality of Service (QoS) requirements are expected to coexist in the same network infrastructure. Software-defined Networking (SDN) is a paradigm designed to solve these problems, but its implementation in wireless networks and especially in the resource-constrained IoT systems is extremely challenging and has seen very limited adoption, since it requires isolation of data and control plane information flows and a reliable and scalable control plane. In this work, Bluetooth Low Energy (BLE) mesh is introduced as an adequate technology for an all-wireless SDN-BLE implementation, which is a technology that has become the de-facto standard for IoT. The proposed SDN-BLE framework uses a routing network slice for the data plane information flow and a flooding network slice for the control plane information flow, ensuring their isolation while still being transmitted over the wireless medium. The design and implementation of all the classical SDN layers on a hybrid BLE mesh testbed is given, where the data plane is formed by the BLE nodes and the control plane can be centralized on a server or distributed over several WiFi gateways. Several controllers are described and implemented, allowing the framework to obtain end-to-end network knowledge to manage individual nodes over the air and configure their behavior to meet application requirements. An experimental characterization of the SDN-BLE framework is given, where the impact of the different parameters of the system on the network reliability, overhead, and energy consumption is studied. Additionally, the distributed versus centralized control plane operation modes are experimentally characterized, and it is shown that the distributed approach can provide the same performance as the centralized one when careful system design is performed. Finally, a proof of concept for the SDN-BLE framework is presented, where a network congestion is automatically detected and the nodes responsible of such congestion are identified and reconfigured over the air, bypassing the congested links, to resume regular network performance.;ACM Trans. Internet Things;ACM;10.1145/3403581;;
EdgeML: An AutoML Framework for Real-Time Deep Learning on the Edge;2021;"Zhao, Zhihe; Wang, Kai; Ling, Neiwen; Xing, Guoliang";In recent years, deep learning algorithms are increasingly adopted by a wide range of data-intensive and time-critical Internet of Things (IoT) applications. As a result, several new approaches, including model partition/offloading and progressive neural architecture, have been proposed to address the challenge of deploying the computation-intensive deep neural network (DNN) models on resource-constrained edge devices. However, the performance of existing approaches is highly affected by runtime dynamics. For example, offloading workload from edge to cloud suffers from communication delays and the efficiency of progressive neural architecture supporting early-exit DNN executions relies on input characteristics. In this paper, we introduce EdgeML, an AutoML framework that provides flexible and fine-grained DNN model execution control by combining workload offloading mechanism and dynamic progressive neural architecture. To achieve desirable latency-accuracy-energy system performance on edge platforms, EdgeML adopts reinforcement learning to automatically update model execution policy in response to runtime dynamics in real-time. We implement EdgeML for several widely used DNN models on the latest edge devices. Comparing to existing approaches, our experiments show that EdgeML achieves up to 8\texttimes{} performance improvement under dynamic environments.;Proceedings of the International Conference on Internet-of-Things Design and Implementation;ACM;10.1145/3450268.3453520;;
Rule based lightweight approach for resources monitoring on IoT Edge devices;2019;"Bali, Ahmed; Gherbi, Abdelouahed";"Edge computing is a recent tendency in the IoT domain that contributes to reduce the reliance on Cloud. This is due to the cost efficiency and the improvement of the system responsivity since services are deployed close to the data source as well as actuator nodes. However, IoT services are created on the top of a diverse and heterogeneous stack of technologies in terms of their representative hardware components. Thus, leading to some kind of barrier to accomplish system interoperability. To mitigate this heterogeneity issue, lightweight virtualization techniques such as containers have been widely adopted for IoT service deployment. However, edge devices (e.g., gateway devices) are likely to be resource-constrained, which in some cases limits their abilities to support the deployment of multiple containers. In fact, this raises the need for an effective management of resources at the edge devices. To achieve that, tools for monitoring resources consumption of container based IoT systems at the network edge level, and to launch notifications in case of any change that requires intervention are of utmost necessity. However, the current efficient monitoring tools are greedy for computing and storage resources; especially when a considerable number of IoT microservices are needed to be deployed on the same gateway. Therefore, they do not meet the constraint of limited resources when scalability is required. This work proposes a lightweight rule-based monitoring approach, taking into consideration resources needed for the monitoring process, especially with the increased number of containers deployed on IoT gateways. Our evaluation shows a significant reduction in the communication of monitoring metrics.";Proceedings of the 5th International Workshop on Container Technologies and Container Clouds;ACM;10.1145/3366615.3368358;;
Deep Reinforcement Learning for Collaborative Inference in Local- Edge Computing;2024;"Chen, Dehua; Dong, Qinghe; He, Qian; Lin, Yiming";Deep Neural Networks (DNNs) are widely used in modern intelligent Internet of Things (IoT) devices. However, high-dimensional parameter models and massive mathematical data processing limit the computational efficiency of resource-constrained IoT devices, making it difficult to support users' Quality of Service (QoS) requirements. Edge intelligence, as a forward-looking paradigm for improving the inference performance of DNN models, enables collaborative inference between terminal devices and edge-side devices through model partitioning. Nevertheless, the communication between terminal devices and edge-side devices faces dynamically changing wireless channels, posing challenges to model offloading partition decisions. Moreover, current research mainly focuses on minimizing energy consumption or latency as optimization objectives, ignoring the user priority requirements of different DNN inference tasks. To fill this gap, this paper models the edge-end DNN collaborative inference problem as a Markov Decision Process(MDP) and proposes a DNN model inference task offloading partition decision algorithm based on deep reinforcement learning. The algorithm converts the current edge environment information and users' differentiated task requirements into basic elements of reinforcement learning, guiding the agent to achieve the goal of maximizing user QoS. To achieve this objective, this paper constructs a real edge environment with Raspberry Pi 4 and PC endpoints. Through experiments, we verified the effectiveness of the proposed algorithm in addressing users' diverse and differentiated QoS requirements, outperforming other benchmark algorithms.;Proceedings of the 2024 International Academic Conference on Edge Computing, Parallel and Distributed Computing;ACM;10.1145/3677404.3677428;;
Streaming Analytics with Adaptive Near-data Processing;2022;"Sandur, Atul; Park, ChanHo; Volos, Stavros; Agha, Gul; Jeon, Myeongjae";Streaming analytics applications need to process massive volumes of data in a timely manner, in domains ranging from datacenter telemetry and geo-distributed log analytics to Internet-of-Things systems. Such applications suffer from significant network transfer costs to transport the data to a stream processor and compute costs to analyze the data in a timely manner. Pushing the computation closer to the data source by partitioning the analytics query is an effective strategy to reduce resource costs for the stream processor. However, the partitioning strategy depends on the nature of resource bottleneck and resource variability that is encountered at the compute resources near the data source. In this paper, we investigate different issues which affect query partitioning strategies. We first study new partitioning techniques within cloud datacenters which operate under constrained compute conditions varying widely across data sources and different time slots. With insights obtained from the study, we suggest several different ways to improve the performance of stream analytics applications operating in different resource environments, by making effective partitioning decisions for a variety of use cases such as geo-distributed streaming analytics.;Companion Proceedings of the Web Conference 2022;ACM;10.1145/3487553.3524858;;
A Survey on the State of the Art of Causally Consistent Cloud Systems;2025;"Freitas, Diana; deGrandis, Paul; Boldt Sousa, Tiago";In geo-replicated distributed systems, data is redundantly stored across nodes at different geographical sites, increasing fault tolerance and ensuring low access latency by placing data closer to the end user.With data being concurrently updated across sites, replicas should converge to a consistent view of the data, which leads toward adopting fine-tuned consistency models, namely causal consistency (CC). On the one hand, CC respects the causality between operations, resulting in intuitive outcomes for end users and programmers. On the other hand, it avoids the latency penalty of stronger consistency models and bypasses their availability constraints in the presence of network partitions. Furthermore, when coupled with Read-only transactions (ROTs) capable of extracting a unified view of the data, CC avoids the anomalies of weaker consistency models.ROTs, however, cause additional coordination overhead compared to non-transactional reads. This overhead is particularly unwelcome considering the prevalence of read operations in real-world applications, and hence the impact of ROTs on the overall performance of read-heavy systems.With this in mind, there has been a growing effort to optimize the latency and throughput of causally consistent ROTs and to understand how the design of existing systems impacts their performance.In light of these recent developments, the present work surveys the state-of-the-art of causally consistent distributed systems, summarizing and comparing their core characteristics and tradeoffs and examining how their design decisions impact the performance of ROTs. To this end, it first defines some key concepts and presents two impossibility results concerning the properties of ROT algorithms. It then reviews several causally consistent systems with ROT support by identifying their recurring strategies to ensure causality and summarizing each of their designs and properties, stressing their implications on the performance of ROTs. It also surveys two architectural approaches to CC, which present progress toward a standard implementation for causally consistent systems. Finally, it discusses the open challenges identified in the literature.;ACM Comput. Surv.;ACM;10.1145/3731444;;
CerberOS: A Resource-Secure OS for Sharing IoT Devices;2017;"Akkermans, Sven; Daniels, Wilfried; Sankar R., Gowri; Crispo, Bruno; Hughes, Danny";To continue to grow, the Internet of Things (IoT) requires scalable and secure system software solutions for resource-constrained devices. To maximize return on investment of these devices, IoT platforms should support multiple third-party applications and adaptation of software over time. However, realizing the vision of shared IoT platforms demands not only strong guarantees on the confidentiality and integrity of application data, but also guarantees on the use of critical resources such as computation, sensors and energy. We refer to this vision as resource security . Prior research on Operating Systems (OS) for tiny IoT devices has focused on miniaturizing core functionality such as scheduling and communication and does not consider resource security. To address this problem, we introduce CerberOS, a resource-secure OS for sharing IoT devices. CerberOS enables multiple applications on constrained IoT devices while, for the first time, guaranteeing data confidentiality, integrity and secure resource management. Our approach is based upon the twin pillars of virtualization, which isolates applications, and contracts, which control application resource usage. Evaluation shows that CerberOS supports the secure coexistence of up to seven applications on a representative IoT device with a memory usage of 40KB ROM and 5KB RAM while preserving multi-year battery lifetimes.;Proceedings of the 2017 International Conference on Embedded Wireless Systems and Networks;ACM;;;
Applying reservation-based scheduling to a ?C-based hypervisor: an industrial case study;2020;"Dasari, Dakshina; Pressler, Michael; Hamann, Arne; Ziegenbein, Dirk; Austin, Paul";Existing software scheduling mechanisms do not suffice for emerging applications in the automotive space, which have the conflicting needs of performance and predictability. As a concrete case, we consider the ETAS lightweight hypervisor (LWHVR), a commercially viable solution in the automotive industry, deployed on multicore microcontrollers. We describe the architecture of the hypervisor and its current scheduling mechanisms based on Time Division Multiplexing. We next show how Reservation-based Scheduling (RBS) can be implemented in the ETAS LWHVR to efficiently use resources while still providing freedom from interference and explore design choices towards an efficient implementation of such a scheduler. With experiments from an industry use case, we also compare the performance of RBS and the existing scheduler in the hypervisor.;Proceedings of the 23rd Conference on Design, Automation and Test in Europe;ACM;;;
Sledge: a Serverless-first, Light-weight Wasm Runtime for the Edge;2020;"Gadepalli, Phani Kishore; McBride, Sean; Peach, Gregor; Cherkasova, Ludmila; Parmer, Gabriel";Emerging IoT applications with real-time latency constraints require new data processing systems operating at the Edge. Serverless computing offers a new compelling paradigm, where a user can execute a small application without handling the operational issues of server provisioning and resource management. Despite a variety of existing commercial and open source serverless platforms (utilizing VMs and containers), these solutions are too heavy-weight for a resource-constrained Edge systems (due to large memory footprint and high invocation time). Moreover, serverless workloads that focus on per-client, short-running computations are not an ideal fit for existing general purpose computing systems.In this paper, we present the design and implementation of Sledge -- a novel and efficient WebAssembly-based serverless framework for the Edge. Sledge is optimized for supporting unique properties of serverless workloads: the need for high density multi-tenancy, low startup time, bursty client request rates, and short-lived computations. Sledge is designed for these constraints by offering (i) optimized scheduling policies and efficient work-distribution for short-lived computations, and (ii) a light-weight function isolation model implemented using our own WebAssembly-based software fault isolation infrastructure. These lightweight sandboxes are designed to support high-density computation: with fast startup and teardown times to handle high client request rates. An extensive evaluation of Sledge with varying workloads and real-world serverless applications demonstrates the effectiveness of the designed serverless-first runtime for the Edge. Sledge supports up to 4 times higher throughput and 4 times lower latencies compared to Nuclio, one of the fastest open-source serverless frameworks.;Proceedings of the 21st International Middleware Conference;ACM;10.1145/3423211.3425680;;
Garrison: A High-Performance GPU-Accelerated Inference System for Adversarial Ensemble Defense;2024;"Wang, Yan; Wang, Xingbin; Lin, Zechao; Su, Yulan; Zhang, Sisi; Hou, Rui; Meng, Dan";In the face of huge threats from adversarial attacks, developing an efficient defense mechanism is crucial for deep learning systems. Adversarial ensemble defense method is one of the most effective techniques for defending against adversarial attacks, which constructs ensembles of multiple DNNs to improve model's robustness. However, deploying ensemble defense methods on existing DNN inference systems is inefficient and impractical due to their dynamics and randomness. To this end, we propose an inference system for adversarial ensemble defense called Garrison, which can deliver robust and low-latency predictions using Multi-Instance GPUs. Garrison employs a multi-granularity GPU partitioning strategy, optimizing hardware utilization by capitalizing on the intrinsic heterogeneity of GPUs. It also integrates a reinforcement learning-based scheduling mechanism, enabling random ensemble of diverse defense models to enhance robustness while maintaining bounded latency. Our evaluations show that Garrison can improve adversarial robustness by up to 24.5%, while accelerating ensemble inference by up to 6.6X compared to the state-of-the-art inference framework.;Proceedings of the 61st ACM/IEEE Design Automation Conference;ACM;10.1145/3649329.3654810;;
HotCocoa: Hardware Congestion Control Abstractions;2017;"Arashloo, Mina Tahmasbi; Ghobadi, Monia; Rexford, Jennifer; Walker, David";Congestion control in multi-tenant data centers is an active area of research because of its significant impact on customer experience, and, consequently, on revenue. Therefore, new algorithms and protocols are expected to emerge as the Cloud evolves. Deploying new congestion control algorithms in the end host's hypervisor allows frequent updates, but processing packets at high rates in the hypervisor and implementing the elements of a congestion control algorithm, such as traffic shapers and timestamps, in software have well-studied inaccuracies and CPU inefficiencies. In this paper, we argue for implementing the entire congestion control algorithm in programmable NICs. To do so, we identify the absence of hardware-aware programming abstractions as the most immediate challenge and solve it using a simple high-level domain specific language called HotCocoa. HotCocoa lies at a sweet spot between the ability to express a broad set of congestion control algorithms and efficient hardware implementation. It offers a set of hardware-aware COngestion COntrol Abstractions that enable operators to specify their algorithm without having to worry about low-level hardware primitives. To evaluate HotCocoa, we implement four congestion control algorithms (Reno, DCTCP, PCC, and TIMELY) and use simulations to show that HotCocoa's implementation of Reno perfectly tracks the behavior of a native implementation in C++.;Proceedings of the 16th ACM Workshop on Hot Topics in Networks;ACM;10.1145/3152434.3152457;;
Comprehensive Testbed for Evaluating Remote Rendering Performance in the Evolving Metaverse;2024;"Bassbouss, Louay; Zoubarev, Alexander; Steglich, Stephan; Arbanowski, Stefan; Pogrzeba, Peter";This paper presents a comprehensive testbed designed for evaluating remote rendering performance in the evolving Metaverse, with a specific emphasis on motion-to-photon (MTP) and click-to-photon (CTP) latencies. Leveraging popular game engines like Unity and Unreal Engine, the study explores diverse metrics for evaluating the performance of rendering and streaming 3D experiences. Utilizing Docker containers for streamlined deployment across various platforms, the research addresses the critical challenge of minimizing End-to-End latency while preserving image quality.An innovative measurement approach employing external cameras autonomously captures MTP and CTP latencies, providing a detailed understanding of the user experience. The dedicated framework and application facilitate the correlation of these latency metrics with other programmatically captured measurements, including bitrates, Round-Trip Time (RTT), and hardware performance. This focused evaluation contributes valuable insights into remote rendering performance, particularly in achieving low-latency experiences essential for the seamless integration of complex 3D content within the Metaverse.;Proceedings of the 3rd Mile-High Video Conference;ACM;10.1145/3638036.3640808;;
Elmo: Source Routed Multicast for Public Clouds;2020;"Shahbaz, Muhammad; Suresh, Lalith; Rexford, Jennifer; Feamster, Nick; Rottenstreich, Ori; Hira, Mukesh";"We present Elmo, a system that addresses the multicast scalability problem in multi-tenant datacenters. Modern cloud applications frequently exhibit one-to-many communication patterns and, at the same time, require sub-millisecond latencies and high throughput. IP multicast can achieve these requirements but has control- and data-plane scalability limitations that make it challenging to offer it as &lt;italic&gt;a service for hundreds of thousands of tenants&lt;/italic&gt;, typical of cloud environments. Tenants, therefore, must rely on unicast-based approaches (&lt;italic&gt;e.g.&lt;/italic&gt;, application-layer or overlay-based) to support multicast in their applications, imposing bandwidth and end-host CPU overheads, with higher and unpredictable latencies. Elmo scales network multicast by taking advantage of emerging programmable switches and the unique characteristics of data-center networks; specifically, the hypervisor switches, symmetric topology, and short paths in a datacenter. Elmo encodes multicast group information inside packets themselves, reducing the need to store the same information in network switches. In a three-tier data-center topology with 27,000 hosts, Elmo supports a million multicast groups using an average packet-header size of 114 bytes (max. 325 bytes), requiring as few as 1,100 multicast group-table entries on average in leaf switches, and having a traffic overhead as low as 5% over ideal multicast.";IEEE/ACM Trans. Netw.;ACM;10.1109/TNET.2020.3020869;;
Soft Error Resilience at Near-Zero Cost;2024;"Zeng, Jianping; Huang, Shao-Yu; Liu, Jiuyang; Jung, Changhee";Among existing schemes for soft error resilience, acoustic-sensor-based detection stands out owing to its ability to prevent silent data corruption at low hardware cost. However, the state-of-the-art work not only incurs a considerable run-time overhead but also complicates the processor pipeline with intrusive microarchitectural modifications, hindering its practical deployment in real silicon. To this end, this paper presents VeriPipe, a near-zero-cost compiler/architecture codesign scheme for soft error resilience. VeriPipe compiler partitions input program to a series of regions (epochs) statically, while VeriPipe hardware verifies if they are error-free dynamically. In particular, VeriPipe achieves a simple yet efficient region-level verification where each region goes through a three-stage (Execute, Verify, and Commit) verification pipeline to ensure the absence of soft errors before proceeding to the next region. In particular, VeriPipe hardware overlaps the Verify stage of each region with the Execute stage of the next region, thereby effectively hiding the Verify delay. Experiments with 43 applications from SPEC2006/2017/NPB-CPP/SPLASH3/DoE Mini-Apps highlight the negligible overheads of VeriPipe, i.e., an average of 1% run-time overhead and a storage overhead of only 3 registers and 1 countdown timer.;Proceedings of the 38th ACM International Conference on Supercomputing;ACM;10.1145/3650200.3656605;;
Victima: Drastically Increasing Address Translation Reach by Leveraging Underutilized Cache Resources;2023;"Kanellopoulos, Konstantinos; Nam, Hong Chul; Bostanci, Nisa; Bera, Rahul; Sadrosadati, Mohammad; Kumar, Rakesh; Bartolini, Davide Basilio; Mutlu, Onur";Address translation is a performance bottleneck in data-intensive workloads due to large datasets and irregular access patterns that lead to frequent high-latency page table walks (PTWs). PTWs can be reduced by using (i) large hardware TLBs or (ii) large software-managed TLBs. Unfortunately, both solutions have significant drawbacks: increased access latency, power and area (for hardware TLBs), and costly memory accesses, the need for large contiguous memory blocks, and complex OS modifications (for software-managed TLBs). We present Victima, a new software-transparent mechanism that drastically increases the translation reach of the processor by leveraging the underutilized resources of the cache hierarchy. The key idea of Victima is to repurpose L2 cache blocks to store clusters of TLB entries, thereby providing an additional low-latency and high-capacity component that backs up the last-level TLB and thus reduces PTWs. Victima has two main components. First, a PTW cost predictor (PTW-CP) identifies costly-to-translate addresses based on the frequency and cost of the PTWs they lead to. Leveraging the PTW-CP, Victima uses the valuable cache space only for TLB entries that correspond to costly-to-translate pages, reducing the impact on cached application data. Second, a TLB-aware cache replacement policy prioritizes keeping TLB entries in the cache hierarchy by considering (i) the translation pressure (e.g., last-level TLB miss rate) and (ii) the reuse characteristics of the TLB entries. Our evaluation results show that in native (virtualized) execution environments Victima improves average end-to-end application performance by 7.4% (28.7%) over the baseline four-level radix-tree-based page table design and by 6.2% (20.1%) over a state-of-the-art software-managed TLB, across 11 diverse data-intensive workloads. Victima delivers similar performance as a system that employs an optimistic 128K-entry L2 TLB, while avoiding the associated area and power overheads. Victima (i) is effective in both native and virtualized environments, (ii) is completely transparent to application and system software, (iii) unlike large software-managed TLBs, does not require contiguous physical allocations, (iv) is compatible with modern large page mechanisms and (iv) incurs very small area and power overheads of and , respectively, on a modern high-end CPU. The source code of Victima is freely available at https://github.com/CMU-SAFARI/Victima.;Proceedings of the 56th Annual IEEE/ACM International Symposium on Microarchitecture;ACM;10.1145/3613424.3614276;;
Prediction Privacy in Distributed Multi-Exit Neural Networks: Vulnerabilities and Solutions;2023;"Kannan, Tejas; Feamster, Nick; Hoffmann, Henry";Distributed Multi-exit Neural Networks (MeNNs) use partitioning and early exits to reduce the cost of neural network inference on low-power sensing systems. Existing MeNNs exhibit high inference accuracy using policies that select when to exit based on data-dependent prediction confidence. This paper presents a side-channel attack against distributed MeNNs employing data-dependent early exit policies. We find that an adversary can observe when a distributed MeNN exits early using encrypted communication patterns. An adversary can then use these observations to discover the MeNN's predictions with over 1.85\texttimes{} the accuracy of random guessing. In some cases, the side-channel leaks over 80% of the model's predictions. This leakage occurs because prior policies make decisions using a single threshold on varying prediction confidence distributions. We address this problem through two new exit policies. The first method, Per-Class Exiting (PCE), uses multiple thresholds to balance exit rates across predicted classes. This policy retains high accuracy and lowers prediction leakage, but we prove it has no privacy guarantees. We obtain these guarantees with a second policy, Confidence-Guided Randomness (CGR), which randomly selects when to exit using probabilities biased toward PCE's decisions. CGR provides statistically equivalent privacy with consistently higher inference accuracy than exiting early uniformly at random. Both PCE and CGR have low overhead, making them viable security solutions in resource-constrained settings.;Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security;ACM;10.1145/3576915.3623069;;
Placement of Microservices-based IoT Applications in Fog Computing: A Taxonomy and Future Directions;2023;"Pallewatta, Samodha; Kostakos, Vassilis; Buyya, Rajkumar";The Fog computing paradigm utilises distributed, heterogeneous and resource-constrained devices at the edge of the network for efficient deployment of latency-critical and bandwidth-hungry IoT application services. Moreover, MicroService Architecture (MSA) is increasingly adopted to keep up with the rapid development and deployment needs of fast-evolving IoT applications. Due to the fine-grained modularity of the microservices and their independently deployable and scalable nature, MSA exhibits great potential in harnessing Fog and Cloud resources, thus giving rise to novel paradigms like Osmotic computing. The loosely coupled nature of the microservices, aided by the container orchestrators and service mesh technologies, enables the dynamic composition of distributed and scalable microservices to achieve diverse performance requirements of the IoT applications using distributed Fog resources. To this end, efficient placement of microservice plays a vital role, and scalable placement algorithms are required to utilise the said characteristics of the MSA while overcoming novel challenges introduced by the architecture. Thus, we present a comprehensive taxonomy of recent literature on microservices-based IoT applications placement within Fog computing environments. Furthermore, we organise multiple taxonomies to capture the main aspects of the placement problem, analyse and classify related works, identify research gaps within each category, and discuss future research directions.;ACM Comput. Surv.;ACM;10.1145/3592598;;
Joint Architecture Design and Workload Partitioning for DNN Inference on Industrial IoT Clusters;2023;"Fang, Weiwei; Xu, Wenyuan; Yu, Chongchong; Xiong, Neal. N.";"The advent of Deep Neural Networks (DNNs) has empowered numerous computer-vision applications. Due to the high computational intensity of DNN models, as well as the resource constrained nature of Industrial Internet-of-Things (IIoT) devices, it is generally very challenging to deploy and execute DNNs efficiently in the industrial scenarios. Substantial research has focused on model compression or edge-cloud offloading, which trades off accuracy for efficiency or depends on high-quality infrastructure support, respectively. In this article, we present EdgeDI, a framework for executing DNN inference in a partitioned, distributed manner on a cluster of IIoT devices. To improve the inference performance, EdgeDI exploits two key optimization knobs, including: (1) Model compression based on deep architecture design, which transforms the target DNN model into a compact one that reduces the resource requirements for IIoT devices without sacrificing accuracy; (2) Distributed inference based on adaptive workload partitioning, which achieves high parallelism by adaptively balancing the workload distribution among IIoT devices under heterogeneous resource conditions. We have implemented EdgeDI based on PyTorch, and evaluated its performance with the NEU-CLS defect classification task and two typical DNN models (i.e., VGG and ResNet) on a cluster of heterogeneous Raspberry Pi devices. The results indicate that the proposed two optimization approaches significantly outperform the existing solutions in their specific domains. When they are well combined, EdgeDI can provide scalable DNN inference speedups that are very close to or even much higher than the theoretical speedup bounds, while still maintaining the desired accuracy.";ACM Trans. Internet Technol.;ACM;10.1145/3551638;;
UNILOGIC: A Novel Architecture for Highly Parallel Reconfigurable Systems;2020;"Ioannou, Aggelos D.; Georgopoulos, Konstantinos; Malakonakis, Pavlos; Pnevmatikatos, Dionisios N.; Papaefstathiou, Vassilis D.; Papaefstathiou, Ioannis; Mavroidis, Iakovos";"One of the main characteristics of High-performance Computing (HPC) applications is that they become increasingly performance and power demanding, pushing HPC systems to their limits. Existing HPC systems have not yet reached exascale performance mainly due to power limitations. Extrapolating from today’s top HPC systems, about 100–200 MWatts would be required to sustain an exaflop-level of performance. A promising solution for tackling power limitations is the deployment of energy-efficient reconfigurable resources (in the form of Field-programmable Gate Arrays (FPGAs)) tightly integrated with conventional CPUs. However, current FPGA tools and programming environments are optimized for accelerating a single application or even task on a single FPGA device. In this work, we present UNILOGIC (Unified Logic), a novel HPC-tailored parallel architecture that efficiently incorporates FPGAs. UNILOGIC adopts the Partitioned Global Address Space (PGAS) model and extends it to include hardware accelerators, i.e., tasks implemented on the reconfigurable resources. The main advantages of UNILOGIC are that (i) the hardware accelerators can be accessed directly by any processor in the system, and (ii) the hardware accelerators can access any memory location in the system. In this way, the proposed architecture offers a unified environment where all the reconfigurable resources can be seamlessly used by any processor/operating system. The UNILOGIC architecture also provides hardware virtualization of the reconfigurable logic so that the hardware accelerators can be shared among multiple applications or tasks. The FPGA layer of the architecture is implemented by splitting its reconfigurable resources into (i) a static partition, which provides the PGAS-related communication infrastructure, and (ii) fixed-size and dynamically reconfigurable slots that can be programmed and accessed independently or combined together to support both fine and coarse grain reconfiguration.1 Finally, the UNILOGIC architecture has been evaluated on a custom prototype that consists of two 1U chassis, each of which includes eight interconnected daughter boards, called Quad-FPGA Daughter Boards (QFDBs); each QFDB supports four tightly coupled Xilinx Zynq Ultrascale+ MPSoCs as well as 64 Gigabytes of DDR4 memory, and thus, the prototype features a total of 64 Zynq MPSoCs and 1 Terabyte of memory. We tuned and evaluated the UNILOGIC prototype using both low-level (baremetal) performance tests, as well as two popular real-world HPC applications, one compute-intensive and one data-intensive. Our evaluation shows that UNILOGIC offers impressive performance that ranges from being 2.5 to 400 times faster and 46 to 300 times more energy efficient compared to conventional parallel systems utilizing only high-end CPUs, while it also outperforms GPUs by a factor ranging from 3 to 6 times in terms of time to solution, and from 10 to 20 times in terms of energy to solution.";ACM Trans. Reconfigurable Technol. Syst.;ACM;10.1145/3409115;;
CoEdge: Cooperative DNN Inference With Adaptive Workload Partitioning Over Heterogeneous Edge Devices;2021;"Zeng, Liekang; Chen, Xu; Zhou, Zhi; Yang, Lei; Zhang, Junshan";Recent advances in artificial intelligence have driven increasing intelligent applications at the network edge, such as smart home, smart factory, and smart city. To deploy computationally intensive Deep Neural Networks (DNNs) on resource-constrained edge devices, traditional approaches have relied on either offloading workload to the remote cloud or optimizing computation at the end device locally. However, the cloud-assisted approaches suffer from the unreliable and delay-significant wide-area network, and the local computing approaches are limited by the constrained computing capability. Towards high-performance edge intelligence, the cooperative execution mechanism offers a new paradigm, which has attracted growing research interest recently. In this paper, we propose CoEdge, a distributed DNN computing system that orchestrates cooperative DNN inference over heterogeneous edge devices. CoEdge utilizes available computation and communication resources at the edge and dynamically partitions the DNN inference workload adaptive to devices’ computing capabilities and network conditions. Experimental evaluations based on a realistic prototype show that CoEdge outperforms status-quo approaches in saving energy with close inference latency, achieving up to 25.5% ~ 66.9% energy reduction for four widely-adopted CNN models.;IEEE/ACM Trans. Netw.;ACM;10.1109/TNET.2020.3042320;;
ThingSpire OS: a WebAssembly-based IoT operating system for cloud-edge integration;2021;"Li, Borui; Fan, Hongchang; Gao, Yi; Dong, Wei";We advocate ThingSpire OS, a new IoT operating system based on WebAssembly for cloud-edge integration. By design, WebAssembly is considered as the first-class citizen in ThingSpire OS to achieve coherent execution among IoT device, edge and cloud. Furthermore, ThingSpire OS enables efficient execution of WebAssembly on resource-constrained devices by implementing a WebAssembly runtime based on Ahead-of-Time (AoT) compilation with a small footprint, achieves seamless inter-module communication wherever the modules locate, and leverages several optimizations such as lightweight preemptible invocation for memory isolation and control-flow integrity. We implement a prototype of ThingSpire OS and conduct preliminary evaluations on its inter-module communication performance.;Proceedings of the 19th Annual International Conference on Mobile Systems, Applications, and Services;ACM;10.1145/3458864.3466910;;
