Document Title;Publication Year;Authors;Source Title;Abstract;Library;DOI
Towards a robust, effective and resource efficient machine learning technique for IoT security monitoring;;Idris Zakariyya, Harsha Kalutarage, M. Omar Al-Kadri;Computers & Security;The application of Deep Neural Networks (DNNs) for monitoring cyberattacks in Internet of Things (IoT) systems has gained significant attention in recent years. However, achieving optimal detection performance through DNN training has posed challenges due to computational intensity and vulnerability to adversarial samples. To address these issues, this paper introduces an optimization method that combines regularization and simulated micro-batching. This approach enables the training of DNNs in a robust, efficient, and resource-friendly manner for IoT security monitoring. Experimental results demonstrate that the proposed DNN model, including its performance in Federated Learning (FL) settings, exhibits improved attack detection and resistance to adversarial perturbations compared to benchmark baseline models and conventional Machine Learning (ML) methods typically employed in IoT security monitoring. Notably, the proposed method achieves significant reductions of 79.54% and 21.91% in memory and time usage, respectively, when compared to the benchmark baseline in simulated virtual worker environments. Moreover, in realistic testbed scenarios, the proposed method reduces memory footprint by 6.05% and execution time by 15.84%, while maintaining accuracy levels that are superior or comparable to state-of-the-art methods. These findings validate the feasibility and effectiveness of the proposed optimization method for enhancing the efficiency and robustness of DNN-based IoT security monitoring.;ScienceDirect;10.1016/j.cose.2023.103388.
Active RIS-assisted task partitioning and offloading for industrial edge computing;;Mian Guo, Yuehong Chen, Zhiping Peng, Qirui Li, Keqin Li;Journal of Network and Computer Applications;In Industry 5.0, smart devices in intelligent factories will generate numerous computation-intensive tasks that require low latency. Due to the limited computation resources of local devices, it is required to partition and offload tasks to edge servers via wireless networks for end-edge collaborative computing. However, intelligent factories are usually located in low-rise buildings. The direct offloading paths between smart devices and edge servers are vulnerable to being obstructed by high-rise buildings and trees, leading to intolerable long task offloading delays and even failure in offloading. To tackle this problem, we develop an active reconfigurable intelligent surface (RIS)-assisted end-edge collaborative task partitioning and offloading model, which assists task offloading by reflecting communication signals through the active RIS. We propose to maximize the system utility by jointly optimizing the task partitioning and offloading decisions, reconfiguring the phase shift and amplification factor of the active RIS, and communication and computation resource allocation, aiming at energy-efficiently providing delay guarantee to industrial computation tasks. We formulate, decompose, and theoretically analyze the problem. The upper and lower bounds of offloading decisions, transmission powers, and computation resources constrained to delay bounds have been analyzed. Based on the analytical results, a two-stage heuristic algorithm, RISADA, has been proposed to address the problem. The results demonstrate the efficiency of our proposal for the delay guarantee while reducing energy consumption.;ScienceDirect;10.1016/j.jnca.2025.104215.
Enhancing network link state estimation by incorporating passive packet pair measurement into the Mockets transport protocol;;Roberto Fronteddu, Alessandro Morelli, Niranjan Suri;Procedia Computer Science;Thanks to their limited network footprint, passive approaches to bandwidth estimation are particularly interesting when applied to resource constrained network environments such as tactical networks. Regrettably, passive approaches are typically afflicted by lower accuracy when compared to active bandwidth detection techniques that operate by saturating the pipe or otherwise injecting probing traffic. To overcome this limitation, we designed Passive Packet Pair (P3), a passive version of the packet pair bandwidth estimation mechanism. P3 assesses the bandwidth available over the end-to-end path by measuring differences in the inter-arrival times of packet pairs or trains produced at the transport protocol level starting from application-generated traffic. This paper presents P3 and discusses its integration with Mockets, a communications middleware that provides transport protocol capabilities to applications running in tactical networks, and SENSEI, a passive monitoring and network awareness platform. Finally, the article discusses the results of experiments run in a virtual environment with the goal of evaluating the accuracy of P3 under different system conditions.;ScienceDirect;10.1016/j.procs.2022.09.001.
A novel Network Partitioning Attack against Routing Protocol in Internet of Things;;Rashmi Sahay, G. Geethakumari, Barsha Mitra;Ad Hoc Networks;The Internet of Things (IoT) environment comprises large scale deployment of constrained devices like RFIDs and sensors making routing an essential requirement. These constrained devices are part of the Low power and Lossy Networks (LLNs) in the IoT. The Internet Engineering Task Force standardized IPv6 Routing Protocol for Low power and Lossy Networks (RPL) as the routing protocol for LLNs in IoT. IoT-LLNs are organized as multiple Destination Oriented Directed Acyclic Graphs (DODAGs). The root node in the DODAG organizes and maintains the DODAG through broadcast based configuration information dissemination process. The root node also connects the various nodes in the DODAG to the rest of the IoT network. Hence, for any node in the IoT-LLN, connectivity with the root node is important. We present a novel Network Partitioning Attack (NPA) scenario against RPL in IoT-LLNs wherein a malicious node segregates a section of the IoT-LLN from the root node and thus from the rest of the IoT network. In this paper, we discuss in-depth the vulnerabilities of RPL, which result in the proposed Network Partitioning Attack. We present an analytical model to demonstrate the impact of the attack on the performance of the routing protocol and validate the model through simulation. We also suggest mechanisms to mitigate the attack.;ScienceDirect;10.1016/j.adhoc.2021.102583.
ASOCIDA: adaptive self-optimizing approach for anomaly detection and collaborative isolation in wireless sensor networks;;Sabrina Boubiche, Djallel Eddine Boubiche, Homero Toral-Cruz;Ad Hoc Networks;ABSTRACT;ScienceDirect;10.1016/j.adhoc.2025.103959.
A reconfigurable resource management framework for fog environments;;Noé Godinho, Henrique Silva, Marilia Curado, Luís Paquete;Future Generation Computer Systems;Fog computing emerged to ease the load of resource-constrained devices on the Internet. It provides services and computational devices closer to the users to reduce latency and improve quality of service. For this paradigm to be used in practice, certain optimization tasks need to be solved: to allocate the resources that are available to the users and to perform service placement and routing on the communications executed by them. In this paper, we develop a framework that allows users to offload services and perform communications in a Fog environment. For this, we propose a Mixed Integer Linear Programming (MILP) formulation and a heuristic to map Virtual Networks (VNs) into the substrate network, maximizing fairness of energy and bandwidth usage on the system. Moreover, we propose a MILP formulation and a heuristic to route and offload services of an application in each VN, minimizing energy and latency. We extend both heuristics to be used in dynamic settings with increasing number of users and applications and consider a reconfiguration approach when nodes or links fail in the substrate network. To evaluate the proposed approaches, we use the YAFS simulator and several instances of VNs and services with both randomly generated values and referenced parameters. We observed that the heuristics are able to obtain results close to the optimal value in most settings.;ScienceDirect;10.1016/j.future.2022.03.015.
Efficient Data Aggregation and Message Transmission for Information Processing Model in the CPS-WSN;;Chao-Hsien Hsieh, Qingqing Yang, Dehong Kong, Fengya Xu, Hongmei Wang;Computers, Materials and Continua;The Cyber-Physical Systems (CPS) supported by Wireless Sensor Networks (WSN) helps factories collect data and achieve seamless communication between physical and virtual components. Sensor nodes are energy-constrained devices. Their energy consumption is typically correlated with the amount of data collection. The purpose of data aggregation is to reduce data transmission, lower energy consumption, and reduce network congestion. For large-scale WSN, data aggregation can greatly improve network efficiency. However, as many heterogeneous data is poured into a specific area at the same time, it sometimes causes data loss and then results in incompleteness and irregularity of production data. This paper proposes an information processing model that encompasses the Energy-Conserving Data Aggregation Algorithm (ECDA) and the Efficient Message Reception Algorithm (EMRA). ECDA is divided into two stages, Energy conservation based on the global cost and Data aggregation based on ant colony optimization. The EMRA comprises the Polling Message Reception Algorithm (PMRA), the Shortest Time Message Reception Algorithm (STMRA), and the Specific Condition Message Reception Algorithm (SCMRA). These algorithms are not only available for the regularity and directionality of sensor information transmission, but also satisfy the different requirements in small factory environments. To compare with the recent HPSO-ILEACH and E-PEGASIS, DCDA can effectively reduce energy consumption. Experimental results show that STMRA consumes 1.3 times the time of SCMRA. Both optimization algorithms exhibit higher time efficiency than PMRA. Furthermore, this paper also evaluates these three algorithms using AHP.;ScienceDirect;10.32604/cmc.2024.058122.
In-network aggregation enabled multiple sub-blocks parallel repair in erasure-coded storage system;;Lei Liu, Yong Wang, Yangfan Liang, Junqi Chen, Qian He;Computer Networks;"Erasure coding has gained widespread adoption in large-scale distributed storage systems since it can significantly reduce storage overhead while ensuring high reliability. However, repairing failed data in erasure-coded systems requires retrieving data from multiple nodes, which generates substantial network traffic, and often leads to incast congestion and degraded repair performance. Existing solutions alleviate requester-side congestion by offloading aggregation operations to helpers (nodes that provide repair data), but they inevitable increase inter-helper traffic and still struggle to fully utilize global network resources. To this end, we propose lnaPR (In-network Aggregation Enabled Parallel Repair for Multiple Sub-Blocks), a framework that leverages programmable switches to perform in-network aggregation during data repair. InaPR decomposes a data repair task into multiple tree-structured pipelines, enabling data repair to collect source data from more helpers beyond the fixed k-nodes requirement. Then, the bandwidth allocation for each pipeline is optimized through a two-stage methodology: (1) a heuristic helper allocation strategy that assigns high-bandwidth helpers across multiple pipelines while distributing low-capacity ones among distinct pipelines; (2) a throughput-maximizing bandwidth allocation formulated as a linear programming model. Furthermore, we also extend the architecture to cross-rack scenarios through virtual node decomposition. Finally, we prototype lnaPR using a P4-programmable switch and validate its performance in real-world evaluations and multi-rack simulations. Experimental results demonstrate that InaPR achieves 6.74% higher repair throughput than state-of-the-art methods in single-rack prototype tests and an 11.03% improvement in cross-rack simulations.";ScienceDirect;10.1016/j.comnet.2025.111523.
The BH-mixed scheduling algorithm for DAG tasks with constrained deadlines;;Jiaqing Qiao, Langyu Liu, Fei Guan, Wenbin Zheng;Journal of Systems Architecture;The development of real-time systems has stimulated studies of real-time scheduling algorithms and schedulability analysis methods for parallel tasks, whose number has increased from year to year. For parallel tasks that cannot be converted to sequential tasks, the existing scheduling strategies mostly use one scheduling strategy. From the experiment results when we use different scheduling strategies to schedule the same tasks, we can observe these strategies have advantages for tasks with specific parameter characteristics. We combine the strengths of three algorithms: the partitioned algorithm, the federated scheduling algorithm and the GFP algorithm. A BH-Mixed scheduling algorithm for directed acyclic graph tasks with constrained deadlines is proposed in this paper. We design a classification method according to the feature of these three algorithms. The tasks are divided into three groups and scheduled by the partitioned algorithm, the federated scheduling algorithm and the GFP algorithm respectively. Experimental results show that the BH-Mixed scheduling algorithm outperforms other algorithms tested in this paper.;ScienceDirect;10.1016/j.sysarc.2022.102692.
End-to-end anomaly detection of service function chain through multi-source data in cloud-native systems;;Xuefei Chen, Jinfeng Kou, Haiqiang Li, Yuqi Zhang, Junchao Ma, Chen Li, Bibo Tu;Computers & Security;Cloud native technology enables Network Functions Virtualization (NFV) to dynamically provide and deploy network services to meet specific requirements in Industrial Internet of Things (IIoTs). However, compared to traditional hardware solutions, Service Function Chains (SFCs) are more prone to faults in complex and dynamically changing cloud environments. Existing anomaly detection methods exhibit several shortcomings, including high overhead, low accuracy, and limited detection scope. To address these challenges and ensure service quality, we propose an end-to-end SFC anomaly detection architecture, cSFCAD. First, to overcome the limitations of detection range and single-function detection, the cSFCAD architecture integrates multi-source data from both the data plane and control plane, enabling the effective detection of various types of SFC anomalies. Second, to better capture the spatial relationships of Cloud-Native Network Functions (CNFs) within the SFC, we adopt an encoder based on the self-attention mechanism, which models the behaviour of CNFs and their interdependencies. Finally, to improve the stability of model in dynamic cloud environment, we use adversarial training in order to achieve self-conditioning for robust multi-modal feature extraction and enhanced stability. Additionally, through data reconstruction, we can precisely identify the key metrics contributing most to the anomalies. The difference between the input data and its reconstructed output helps in analysing the underlying causes of the anomalies. Extensive experimental research on two public datasets demonstrates that cSFCAD architecture outperforms existing anomaly detection algorithms.;ScienceDirect;10.1016/j.cose.2025.104461.
End-to-end slices to orchestrate resources and services in the cloud-to-edge continuum;;Francesco Tusa, Stuart Clayman;Future Generation Computer Systems;"Fog computing, combined with traditional cloud computing, offers an inherently distributed infrastructure – referred to as the cloud-to-edge continuum – that can be used for the execution of low-latency and location-aware IoT services. The management of such an infrastructure is complex: resources in multiple domains need to be accessed by several tenants, while an adequate level of isolation and performance has to be guaranteed. This paper proposes the dynamic allocation of end-to-end slices to perform the orchestration of resources and services in such a scenario. These end-to-end slices require a unified resource management approach that encompasses both data centre and network resources. Currently, fog orchestration is mainly focused on the management of compute resources, likewise, the slicing domain is specifically centred solely on the creation of isolated network partitions. A unified resource orchestration strategy, able to integrate the selection, configuration and management of compute and network resources, as part of a single abstracted object, is missing. This work aims to minimise the silo-effect, and proposes end-to-end slices as the foundation for the comprehensive orchestration of compute resources, network resources, and services in the cloud-to-edge continuum, as well acting as the basis for a system implementation. The concept of the end-to-end slice is formally described via a graph-based model that allows for dynamic resource discovery, selection and mapping via different algorithms and optimisation goals; and a working system is presented as the way to build slices across multiple domains dynamically, based on that model. These are independently accessible objects that abstract resources of various providers – traded via a Marketplace – with compute slices, allocated using the bare-metal cloud approach, being interconnected to each other via the connectivity of network slices. Experiments, carried out on a real testbed, demonstrate three features of the end-to-end slices: resources can be selected, allocated and controlled in a softwarised fashion; tenants can instantiate distributed IoT services on those resources transparently; the performance of a service is absolutely not affected by the status of other slices that share the same resource infrastructure.";ScienceDirect;10.1016/j.future.2022.11.026.
A Lightweight Energy-Efficient Algorithm for mitigation and isolation of Internal Rank Attackers in RPL based Internet of Things;;P.S. Nandhini, S. Kuppuswami, S. Malliga, R. DeviPriya;Computer Networks;"Internet of Things (IoT) has become a pivotal technology for connecting various physical things or devices to the internet. Despite the potential advantages, security in IoT network continues to be a major concern due to enormous volume of the data generated and transmitted. Since the devices in IoT are resource-constrained and heterogeneous, it is becoming harder to maintain security in routing protocols such as Routing Protocol for Low-power and Lossy networks (RPL). RPL uses control packets for the construction of tree topology and it is prone to various attacks such as flood, version, rank and so on. Rank attack leads to the formation of loop, increased latency in packet delivery, energy depletion in nodes, decreased delivery ratio of packets and so on. Since the impact of the rank attack is high on the network, a lightweight energy-efficient algorithm is needed for the detection and isolation of rank attackers. The proposed Rank Attack Detection (RAD) algorithm uses a non-cryptographic hash algorithm to preserve the integrity of control packets. It uses random sampling to reduce energy consumption. Once the rank attacker is detected, an alarm is generated against the attackers. The alarm is not a separate control packet; it is appended to the control message itself. The proposed algorithm is analysed using different topologies by comparing it with the already existing algorithms in terms of control packet overhead, delivery ratio, latency for delivery of data packets, accuracy and energy consumption. It achieves better accuracy in grid-centered topology and the average energy consumption is reduced in random topology.";ScienceDirect;10.1016/j.comnet.2022.109391.
Optimal action-selection optimization of wireless networks based on virtual representation;;Rafael Oliveira, Duarte Raposo, Miguel Luís, Susana Sargento;Computer Networks;Modern smart homes are becoming increasingly complex due to the growing number of connected wireless devices and the need for a fast, stable Internet connection. Tri-band Wi-Fi 6E addresses these demands by reducing network congestion and enhancing performance across the 2.4, 5 and 6 GHz bands. However, improper channel management can lead to frequent interference and network instability. This work introduces a Wi-Fi management solution that uses reinforcement learning to automatically optimize network configurations based on the observed interference levels. The Wi-Fi network is mapped to a virtual environment to simulate different scenarios with real data acquired from the network, allowing the system to learn and improve without disrupting the actual network. Practical tests were conducted in four residential network layouts, including star and daisy chain topologies. The solution effectively reduces the number of hops, improves the throughput in longer paths from the gateway to clients, adapts to unforeseen network dynamics in the presence of Ethernet clients and adjusts the configuration as clients move within the home. The results demonstrate improved network capacity and responsiveness compared to default configurations. In the best cases, clients achieved rates of up to 1 Gbps, round-trip times as low as 10 ms, and efficient airtime distribution across the three frequency bands. The proposed approach provides a robust and automated solution to address the challenges of domestic wireless networking and paves the way to more sophisticated virtualization solutions for end users at home.;ScienceDirect;10.1016/j.comnet.2025.111258.
EdgeDrones: Co-scheduling of drones for multi-location aerial computing missions;;Uchechukwu Awada, Jiankang Zhang, Sheng Chen, Shuangzhi Li, Shouyi Yang;Journal of Network and Computer Applications;Low altitude platform (LAP) unmanned aerial vehicles (UAVs), also called drones, are currently being exploited by Edge computing (EC) systems to execute complex resource-hungry use cases, such as virtual reality, smart cities, autonomous vehicles, etc., by attaching portable edge devices on them. However, a typical drone has limited flight time, coupled with the resource-constrained attached edge device, which can jeopardize aerial computing missions if they are not holistically taking into consideration. Moreover, the fundamental challenge is how to co-schedule multi-drone among multi-location where EC services are needed, such that drones are scheduled to maximize the utility from the activities while meeting computing resource and flight time constraints. Therefore, for a given fleet of drones and tasks across disjointed target locations in a city, we derive a machine learning (ML) linear regression model that estimates these tasks resource requirement and execution time. Leveraging this estimation values, we jointly consider each drone’s flight time availability and its attached edge device resource capacity, and formulate a novel Multi-Location Capacitated Mission Scheduling Problem (MLCMSP) that selects suitable drones and co-schedules their flight routes with the least total distance to visit and execute tasks at the target locations. Then, we show that faster scheduling and execution of complex tasks at each location, while considering the inter-task dependencies is important to achieve effective solution for our MLCMSP. Hence, we further propose EdgeDrones, a variant bin-packing optimization approach through gang-scheduling of inter-dependent tasks that co-schedules and co-locates tasks tightly so as to achieve faster execution time, as well as to fully utilize available resources. Extensive experiments on Alibaba cluster trace with information on task dependencies (about 12,207,703 dependencies) show that EdgeDrones achieves up to 73% higher resource utilization, up to 17.6 times faster executions, and up to 2.87 times faster flight travel time compared to the baseline approaches.;ScienceDirect;10.1016/j.jnca.2023.103632.
nnWeb: Towards efficient WebGPU-based DNN inference via automatic collaborative offloading;;Jiawei Liu, Bing Dong, Weilong Wang, Muhan Yuan, Borui Li, Zhao-Dong Xu, Shuai Wang;Computer Networks;"In-browser neural network inference offers the promise of cross-platform AI applications, but faces severe latency and energy challenges on resource-constrained devices. In this paper, we present nnWeb, a WebGPU-based in-browser neural network inference framework with optimized latency and energy efficiency. nnWeb dynamically partitions neural network and facilitates the collaborative offloading between client browser and server. nnWeb operates in two phases: (1) layer-wise isolation-based profiling, which is used to predict per-layer execution latency and energy on heterogeneous hardware; and (2) asynchronous execution-based DNN partitioning, which continuously monitors network bandwidth and device load to select the optimal partition point using WebGPU’s native pipeline parallelism, minimizing total latency or energy consumption by solving a closed-form optimization at runtime. Extensive evaluation on various in-browser AI models and networking conditions shows that nnWeb achieves an average reduction of 30% to 52% in total inference latency compared with static partitioning. Moreover, nnWeb realizes energy savings ranging from 11.3% to 44.0% in contrast to standalone browser inference.";ScienceDirect;10.1016/j.comnet.2025.111489.
An efficient and optimized Markov chain-based prediction for server consolidation in cloud environment;;Nisha Chaurasia, Mohit Kumar, Ankit Vidyarthi, Kunwar Pal, Ahmed Alkhayyat;Computers and Electrical Engineering;Cloud service providers are aggressively expanding their data centers to meet end-user demand, resulting in increased power and energy consumption. As a result, it becomes extremely important to implement server consolidation solutions in the context of cloud computing. One of the difficult problems in cloud data centers is efficient server consolidation, which is related to both environmental and financial aspects. Using resources efficiently and reducing energy consumption are the main goals of consolidating servers for cloud computing. Regrettably, the majority of methods now in use have been geared towards either lowering system performance or reducing energy consumption. Using the Markov chain principle for each server transition, we suggested a strategy in this study to optimize the server consolidation process. An early review of the study’s findings is encouraging and comes to the conclusion that a successful server consolidation strategy may be implemented with the least amount of resources and the best possible energy use. The suggested strategy takes into account the following three elements: consolidating the resources, cutting down energy consumption, and trading off of both (composite case).;ScienceDirect;10.1016/j.compeleceng.2023.108707.
DNNPipe: Dynamic programming-based optimal DNN partitioning for pipelined inference on IoT networks;;Woobean Seo, Saehwa Kim, Seongsoo Hong;Journal of Systems Architecture;Pipeline parallelization is an effective technique that enables the efficient execution of deep neural network (DNN) inference on resource-constrained IoT devices. To enable pipeline parallelization across computing nodes with asymmetric performance profiles, interconnected via low-latency, high-bandwidth networks, we propose DNNPipe, a DNN partitioning algorithm that constructs a pipeline plan for a given DNN. The primary objective of DNNPipe is to maximize the throughput of DNN inference while minimizing the runtime overhead of DNN partitioning, which is repeatedly executed online in dynamically changing IoT environments. To achieve this, DNNPipe uses dynamic programming (DP) with pruning techniques that preserve optimality to explore the search space and find the optimal pipeline plan whose maximum stage time is no greater than that of any other possible pipeline plan. Specifically, it aggressively prunes suboptimal pipeline plans using two pruning techniques: upper-bound-based pruning and under-utilized-stage pruning. Our experimental results demonstrate that pipelined inference using an obtained optimal pipeline plan improves DNN throughput by up to 1.78 times compared to the highest performing single device and DNNPipe achieves up to 98.26 % lower runtime overhead compared to PipeEdge, the fastest known optimal DNN partitioning algorithm.;ScienceDirect;10.1016/j.sysarc.2025.103462.
A hybrid model for VNF deployment capable of responding to online requests at network edge;;Seyed Reza Zahedi, Shahram Jamali;Computer Networks;Network function virtualization (NFV) is a new network architecture that replaces dedicated hardware appliances with software instances and run them via software virtualization on general-purpose servers at edge clouds. As edge clouds are resource-constrained, optimal placement of virtual network functions (VNFs) is a challenging task. This problem has proven to be NP-hard, and thus, metaheuristic algorithms have been widely used to solve it. However, these techniques suffer from high computational complexity due to their iterative, time-consuming process and cannot be performed in real-time for online requests. This paper proposes a hybrid model based on heuristic algorithms and the Whale Optimization Algorithm (WOA) to optimally assign VNFs to physical servers at edge clouds. In this method, a multi-criteria heuristic model is used for online VNF deployment, while WOA is performed offline to tune the hyperparameters of the heuristic model. Simulation results demonstrate the efficiency of the proposed method against existing techniques in terms of power consumption and acceptance rate.;ScienceDirect;10.1016/j.comnet.2024.110385.
Low-frequency learning quantized control for MEMS gyroscopes accounting for full-state constraints;;Xingling Shao, Haonan Si, Wendong Zhang;Engineering Applications of Artificial Intelligence;In this paper, a low-frequency learning quantized control scheme for micro-electro-mechanical systems (MEMS) gyroscopes subject to full-state constraints is proposed. In order to cope with asymmetric time-varying constraints imposed on MEMS gyroscope states, a nonlinear state-dependent transformation scheme is introduced via converting the constrained system into an equivalent formulation free from constraints, which entirely removes the feasibility condition enforced on the virtual control signal, and avoids the nontrivial optimization of design parameters. A low-frequency learning architecture capable of recovering uncertainties in the transformed system without incurring high-frequency transient chattering is proposed with the aid of a low-pass filter, a state estimator and a minimum-learning-parameter neural network (MLPNN), which has the following striking features: one is that the estimation error rather than tracking error is utilized in the weight update law, allowing for better transient estimation behaviors in the presence of a high adaptive gain. Another is that the high-frequency component of disturbances can be filtered out via inserting a filtering error-based modification term. Then, a logarithm quantizer (LQ) is employed to generate control signal sequences within finite digital sets for MEMS gyroscopes, remarkably saving communication and actuating resources. Eventually, via Lyapunov stability synthesis and substantial simulation results, all closed-loop error signals are proven to be ultimately uniformly bounded, and the effectiveness along with superiority of proposed algorithm are illustrated.;ScienceDirect;10.1016/j.engappai.2022.104724.
MiGrror: Mitigating Downtime in Mobile Edge Computing, An Extension to Live Migration;;Arshin Rezazadeh, Davood Abednezhad, Hanan Lutfiyya;Procedia Computer Science;Soon after the proliferation of User-Equipments (UEs) that work with cloud computing, there was an explosion in the volume of generated data. Furthermore, emerging IoT applications, e.g. virtual reality, augmented reality, video streaming, intelligent transportation, and healthcare, require low latency and real-time data, processing and communication. Fog/Edge computing is a novel criterion in which distributed fog/edge nodes provide resources in close proximity to end devices due to their limited resources. Instead of sending large amounts of data to cloud servers, fog/edge nodes could use local resources to analyze, filter, and process data. Mobile Edge Computing (MEC) can significantly reduce processing delays and network traffic between UEs and servers, especially when user mobility is taken into account. This paper proposed a new approach to migration in fog/edge computing to reduce downtime. Our simulations demonstrate less downtime, packet loss, migration time, and latency compared to current techniques.;ScienceDirect;10.1016/j.procs.2022.07.008.
LUVI: Lightweight UWB-VIO based relative positioning for AR-IoT applications;;Hong-Beom Choi, Keun-Woo Lim, Young-Bae Ko;Ad Hoc Networks;In this paper, we propose LUVI, Lightweight UWB-VIO relative positioning method for indoor localization. Recent designs of handheld and embedded devices feature various technologies which have the means to enhance localization performance in indoor environments. These include visual odometry based on cameras and augmented reality, and communication hardware such as UWB. Integration of such technologies to exploit their advantages allows us to compensate for each other's errors in measurement. This improves the overall function of future services, such as visual representation of sensing information from sensors in areas that are not physically visible. However, existing work cannot fully exploit these technologies to high extent, often inducing high errors or wasted resources. LUVI is a novel localization method which estimates the location of a target object using relative coordinates of estimator devices without the aid of definitive coordinates. LUVI focuses on utilization of lightweight management of virtual anchors for localization, with functions that reduce the computing and communication complexity while maintaining the accuracy and improving energy efficiency of the localization. Our work has been fully implemented and tested in several indoor environments, showing robustness to NLOS while significantly reducing computational complexity, and up to 30% lower average error.;ScienceDirect;10.1016/j.adhoc.2023.103132.
Multi-Agent Deep Q-Networks for Efficient Edge Federated Learning Communications in Software-Defined IoT;;Prohim Tam, Sa Math, Ahyoung Lee, Seokhoon Kim;Computers, Materials and Continua;Federated learning (FL) activates distributed on-device computation techniques to model a better algorithm performance with the interaction of local model updates and global model distributions in aggregation averaging processes. However, in large-scale heterogeneous Internet of Things (IoT) cellular networks, massive multi-dimensional model update iterations and resource-constrained computation are challenging aspects to be tackled significantly. This paper introduces the system model of converging software-defined networking (SDN) and network functions virtualization (NFV) to enable device/resource abstractions and provide NFV-enabled edge FL (eFL) aggregation servers for advancing automation and controllability. Multi-agent deep Q-networks (MADQNs) target to enforce a self-learning softwarization, optimize resource allocation policies, and advocate computation offloading decisions. With gathered network conditions and resource states, the proposed agent aims to explore various actions for estimating expected long-term rewards in a particular state observation. In exploration phase, optimal actions for joint resource allocation and offloading decisions in different possible states are obtained by maximum Q-value selections. Action-based virtual network functions (VNF) forwarding graph (VNFFG) is orchestrated to map VNFs towards eFL aggregation server with sufficient communication and computation resources in NFV infrastructure (NFVI). The proposed scheme indicates deficient allocation actions, modifies the VNF backup instances, and reallocates the virtual resource for exploitation phase. Deep neural network (DNN) is used as a value function approximator, and epsilon-greedy algorithm balances exploration and exploitation. The scheme primarily considers the criticalities of FL model services and congestion states to optimize long-term policy. Simulation results presented the outperformance of the proposed scheme over reference schemes in terms of Quality of Service (QoS) performance metrics, including packet drop ratio, packet drop counts, packet delivery ratio, delay, and throughput.;ScienceDirect;10.32604/cmc.2022.023215.
An efficient topology partitioning algorithm for system-level parallel simulation of mega satellite constellation communication networks;;Ke Wang, Xiaojuan Ma, Heng Kang, Zheng Lyu, Baorui Feng, Wenliang Lin, Zhongliang Deng, Yun Zou;Computer Networks;"Satellite Internet, as an important component of the integrated space-ground information network, is a hot research hotspot nowadays. Many scholars have undertaken research in the areas of constellation networking design, network protocol design, and communication performance assessment, and their main research tool is software simulation. Traditional stand-alone network simulation simulators based on OPNET or NS3 are constrained in the simulation efficiency of mega satellite networks because of the limitations of computer hardware conditions and software performance. Based on the above characteristics, we propose a parallel network simulation architecture based on low correlation between different areas of the global satellite network, and in order to improve the parallel network simulation performance, the network topology needs to be divided effectively. Therefore, firstly we consider CPU and memory resource consumption as a measure of topology partitioning performance indicators, propose a resource assessment algorithm and use the result of this assessment as the topology partitioning optimization objective; secondly, we propose a load balancing based intelligent topology partitioning algorithm (LBTP); thirdly, we propose a time slice algorithm (TSA) for parallel simulation in each time cycle. To demonstrate the algorithm proposed in this paper, we built a simulation platform based on the combination of STK (Satellite Tool Kit), OPNET and Proxmox VE, and experimentally verified that the proposed architecture and algorithm significantly improve the simulation efficiency.";ScienceDirect;10.1016/j.comnet.2023.110102.
Deploying near-optimal delay-constrained paths with Segment Routing in massive-scale networks;;Jean-Romain Luttringer, Thomas Alfroy, Pascal Mérindol, Quentin Bramas, François Clad, Cristel Pelsser;Computer Networks;With a growing demand for quasi-instantaneous communication services such as real-time video streaming, cloud gaming, and industry 4.0 applications, multi-constraint Traffic Engineering (TE) becomes increasingly important. While legacy TE management planes like MPLS have proven laborious to deploy, Segment Routing (SR) drastically eases the deployment of TE paths and is thus increasingly adopted by Internet Service Providers (ISP). There is now a clear need in computing and deploying Delay-Constrained Least-Cost paths (DCLC) with SR for real-time interactive services requiring both low delay and high bandwidth routes. However, most current DCLC solutions are not tailored for SR. They also often lack efficiency (particularly exact schemes) or guarantees (by relying on unbounded heuristics). Similarly to approximation schemes, we argue that the actual challenge is to design an algorithm providing both performances and strong guarantees. However, conversely to most of these schemes, we also consider operational constraints to provide a practical, high-performance implementation. In this work, we extend and further evaluate our previous contribution, BEST2COP. BEST2COP leverages inherent limitations in the accuracy of delay measurements, accounts for the operational constraint added by SR, and provides guarantees and bounded computation time in all cases thanks to simple but efficient data structures and amortized procedures. We show that BEST2COP is faster than a state-of-the-art algorithm on both random and real networks of up to 1000 nodes. Relying on commodity hardware with a single thread, our algorithm retrieves all non-superfluous 3-dimensional routes in under 100ms in both cases. This execution time is further reduced using multiple threads, as the design of BEST2COP enables a significant speed-up thanks to a highly parallelizable core which also enables a balanced computing load between threads. Finally, we extend BEST2COP to deal with massive-scale ISP by leveraging the multi-area partitioning of these deployments. Thanks to our new topology generator specifically designed to model realistic patterns in such massive IP networks, we show that BEST2COP can solve DCLC-SR in approximately 1 s even for ISP having more than 100?000 routers.;ScienceDirect;10.1016/j.comnet.2022.109015.
