Title;Year;Authors;Source title;Abstract;Library;DOI
Design and Validation of a Wearable and Programmable Functional Electrical Stimulator Based on MCU;2024;"Cao Y.; Meng W.; Zou Z.; Kong J.; Liu Q.; Ai Q.";M2VIP - Proceedings of the International Conference on Mechatronics and Machine Vision in Practice;The improvement of muscle activity following a stroke is a crucial aspect of a patient's return to normal function. Functional electrical stimulation technology has been demonstrated to be an effective means of assisting patients in their recovery, enhancing muscle activity, and restoring motor ability. This paper presents the design of a programmable functional electrical stimulation system based on a microcontroller unit (MCU). The system employs an STM32 microcontroller as the primary control chip, a PC817 optocoupler for high- and low-voltage isolation, and an H-bridge conversion circuit for current polarity conversion. Additionally, a NE5532 operational amplifier is utilized for constant current drive, which maintains the stability of the stimulation current and enhances the system's resilience to interference. Furthermore, this paper employs the system to conduct electrical stimulation experiments on the biceps brachii muscle, with the objective of establishing the relationship between stimulation frequency, pulse width, and the maximum angular velocity of elbow joint movement, as well as the efficacy of different combinations of stimulation intensity in improving muscle activation.  © 2024 IEEE.;Scopus;10.1109/M2VIP62491.2024.10746122
ElasticRoom: Multi-Tenant DNN Inference Engine via Co-design with Resource-constrained Compilation and Strong Priority Scheduling;2024;"Ma L.; Chen H.; Shao E.; Wang L.; Chen Q.; Tan G.";HPDC 2024 - Proceedings of the 33rd International Symposium on High-Performance Parallel and Distributed Computing;GPU partition mechanisms in run-time software have been widely used in job scheduler and multi-tenant computing system to improve resource utilization and throughput. The latency requirements of different DNN requests, such as real-time and best-effort requests, often exhibit variations in computational systems that handle batch tasks for DNN inference. However, the existing GPU partition mechanisms and state-of-the-art scheduling approaches face challenges in effectively promising both high throughput and low latency for real-time requests. The current limitation lies in the inability of existing GPU partition mechanisms to enhance GPU resource utilization and ensure job priority simultaneously.In this paper, we present an innovative multi-tenant DNN inference engine, ElasticRoom, which relies on the co-design with resource-constrained compilation and strong priority scheduling to achieve high GPU utilization and low latency of real-time requests simultaneously. To ensure portability across diverse manufacturers' accelerator hardware, ElasticRoom does not rely on any customization or pre-set features in the hardware or operating system. To quantify the ability of DNN inference computing systems to process and meet performance requirements for a batch of real-time DNN inference requests within a valid time, we define the concept of Goodput for each batch of inference requests. The performance of ElasticRoom was assessed on both NVIDIA GPUs (A100) and AMD GPUs (MI100), revealing significant enhancements in Goodput ranging from 14% to 49% compared to well-established state-of-the-art methods. © 2024 held by the owner/author(s).;Scopus;10.1145/3625549.3658654
Task-Oriented Edge Networks: Decentralized Learning Over Wireless Fronthaul;2024;"Lee H.; Kim S.-W.";IEEE Internet of Things Journal;This article studies task-oriented edge networks where multiple edge Internet of Things nodes execute machine learning tasks with the help of powerful deep neural networks (DNNs) at a network cloud. Separate edge nodes (ENs) result in a partially observable system where they can only get partitioned features of the global network states. These local observations need to be forwarded to the cloud via resource-constrained wireless fronthual links. Individual ENs compress their local observations into uplink fronthaul messages using task-oriented encoder DNNs. Then, the cloud carries out a remote inference task by leveraging received signals. Such a distributed topology requests a decentralized training and decentralized execution (DTDE) learning framework for designing edge-cloud cooperative inference rules and their decentralized training strategies. First, we develop fronthaul-cooperative DNN architecture along with proper uplink coordination protocols suitable for wireless fronthaul interconnection. Inspired by the nomographic function, an efficient cloud inference model becomes an integration of a number of shallow DNNs. This modulized architecture brings versatile calculations that are independent of the number of ENs. Next, we present a decentralized training algorithm of separate edge-cloud DNNs over downlink wireless fronthaul channels. An appropriate downlink coordination protocol is proposed, which backpropagates gradient vectors wirelessly from the cloud to the ENs. Numerical results demonstrate the viability of the proposed DTDE framework for optimizing task-oriented edge networks.  © 2014 IEEE.;Scopus;10.1109/JIOT.2023.3347234
Machine Learning powered E-Nose for Liquid Food Classification;2024;"Gupta Y.; Partani K.; Rao M.";2024 16th International Conference on Computer and Automation Engineering, ICCAE 2024;Monitoring food intake provides valuable insight to the individual dietary routine. Self-reporting of the food intake on daily basis is viewed as a tedious process, leading to under-reporting, which affects the overall evaluation on the food intake. Hence a technologically aided autonomous food monitoring and reporting solution is much needed for effective management and characterizing individual well-being. Wearable sensors, and camera based solutions have shown to effectively track food of solid form. However, tracking liquid food item through these set of sensors is likely to fail due to minimal distinguishing features among the consumable liquid food items. Hence a novel electronic-nose (e-nose) system encasing four gas sensor channels is designed to detect the liquid food intake precisely. This solution along with the existing wearable sensors is expected to categorize various food items either in solid and liquid form and aids in autonomously managing the eating habits of the individual. This work presents a novel E-Nose portable platform comprising of a glass container with a gas sensor interfaced to the micro-controller for signal acquisition. The machine-learning (ML) model is trained for large dataset consisting of temporal responses from the four sensory channels. The acquired sensory response for all the five liquids were studied in two-dimensional (2D) feature space to showcase the classification capability. All the three ML models including Artificial Neural Network, Random Forest, and K-Nearest Neighbours achieved high accuracy which is attributed to the distinguishing ability of the sensors response for the five liquid food items under investigation. This work forms a fundamental basis to further characterize different concentration of ingredients within a single and multiple such liquids when served on the table. © 2024 IEEE.;Scopus;10.1109/ICCAE59995.2024.10569354
Multistability and Four-Scroll Chaos in a Pair of Coupled Second-Order Damped Oscillators with Hyperbolic Sine Function: Theoretical Study and Circuit Simulation;2024;"Sriram S.; Kana Kemgang L.; Rakhmatullaeva M.F.; Rajagopal K.; Kengne J.";Circuits, Systems, and Signal Processing;It is known that the coupling of nonlinear oscillators can result in extremely rich and complex dynamics not found in an isolated oscillator. This work introduces a novel four-dimensional autonomous system designed by coupling two second-order damped oscillators with hyperbolic sine nonlinearity in such a way that each oscillator is perturbed by a signal proportional to the amplitude of the other one. The model presents both odd and rotational symmetry. The stability and nature of the equilibrium points are studied by resorting to the Routh–Hurtwitz criterion and the Hopf bifurcation theorem. A direct numerical integration of the evolution equation reveals rich and striking features such as multiple Hopf bifurcations, four-scroll chaotic attractors, and the coexistence of multiple modes of oscillations (i.e. homogeneous and heterogeneous multistability) when adjusting the coupling coefficients and the dissipation as well. These striking features are visualized by utilizing phase space trajectory plots, basins of attraction, plots of maximum Lyapunov exponents and bifurcation diagrams. A simple analogue electronic circuit emulating the coupled oscillators system is designed by using only basic electronic components consisting of operational amplifiers, resistors, capacitors and two pairs of diodes (implementing the hyperbolic sine nonlinearities). PSpice simulations and the microcontroller-based implementation are in accordance with the predictions of the theoretical investigations. One of main conclusions of the present study is that the coupling of second-order damped oscillators with hyperbolic sine function (only) can be seen as an alternative method to design multiscroll chaos generators. The proposed approach then differs from previous ones employing piecewise-linear functions, sine functions, and hysteresis functions or coupled third-order oscillators where the electronic design of the nonlinearity is relatively complex. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.;Scopus;10.1007/s00034-023-02573-2
An online ensemble method for auto-scaling NFV-based applications in the edge;2024;"da Silva T.P.; Batista T.V.; Delicato F.C.; Pires P.F.";Cluster Computing;The synergy of edge computing and Machine Learning (ML) holds immense potential for revolutionizing Internet of Things (IoT) applications, particularly in scenarios characterized by high-speed, continuous data generation. Offline ML algorithms struggle with streaming data as they rely on static datasets for model construction. In contrast, Online Machine Learning (OML) adapts to changing environments by training the model with each new observation in real-time. However, developing OML algorithms introduces complexities such as bias and variance considerations, making the selection of suitable estimators challenging. In this challenging landscape, ensemble learning emerges as a promising approach, offering a strategic framework to navigate the bias-variance tradeoff and enhance prediction accuracy by amalgamating outputs from diverse ML models. This paper introduces a novel ensemble method tailored for edge computing environments, designed to efficiently operate on resource-constrained devices while accommodating various online learning scenarios. The primary objective is to enhance predictive accuracy at the edge, thereby empowering IoT applications with robust decision-making capabilities. Our study addresses the critical challenges of ML in resource-constrained edge computing environments, offering practical insights for enhancing predictive accuracy and scalability in IoT applications. To validate our ensemble’s efficacy, we conducted comprehensive experimental evaluations leveraging both synthetic and real-world datasets. The results indicate that our ensemble surpassed state-of-the-art data stream algorithms and ensemble regressors across a range of regression metrics, underlining its superior predictive prowess. Furthermore, we scrutinized the ensemble’s performance within the realm of auto-scaling for Virtual Network Function (VNF)-based applications situated at the network’s edge, thereby elucidating its applicability and scalability in real-world scenarios. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.;Scopus;10.1007/s10586-024-04465-9
Aggregating Multiple Bio-Inspired Image Region Classifiers for Effective and Lightweight Visual Place Recognition;2024;"Arcanjo B.; Ferrarini B.; Fasli M.; Milford M.; Mcdonald-Maier K.D.; Ehsan S.";IEEE Robotics and Automation Letters;Visual place recognition (VPR) enables autonomous systems to localize themselves within an environment using image information. While VPR techniques built upon a Convolutional Neural Network (CNN) backbone dominate state-of-the-art VPR performance, their high computational requirements make them unsuitable for platforms equipped with low-end hardware. Recently, a lightweight VPR system based on multiple bio-inspired classifiers, dubbed DrosoNets, has been proposed, achieving great computational efficiency at the cost of reduced absolute place retrieval performance. In this letter, we propose a novel multi-DrosoNet localization system, dubbed RegionDrosoNet, with significantly improved VPR performance, while preserving a low-computational profile. Our approach relies on specializing distinct groups of DrosoNets on differently sliced partitions of the original images, increasing model differentiation. Furthermore, we introduce a novel voting module to combine the outputs of all DrosoNets into the final place prediction which considers multiple top reference candidates from each DrosoNet. RegionDrosoNet outperforms other lightweight VPR techniques when dealing with both appearance changes and viewpoint variations. Moreover, it competes with computationally expensive methods on some benchmark datasets at a small fraction of their online inference time.  © 2016 IEEE.;Scopus;10.1109/LRA.2024.3367275
IKE-less IPsec for Centralized Management of Network Security;2024;"Ciravegna F.; Bruno G.; Lioy A.";CEUR Workshop Proceedings;In the realm of network security, the implementation of robust security measures is crucial to safeguard sensitive data and ensure the integrity of communication channels. To this end, the IPsec protocol enables the secure communication at network level. Initially reliant on manual configuration, IPsec evolved with the introduction of the Internet Key Exchange (IKE) protocol, which streamlines the establishment of Security Associations between network endpoints. However, the overhead associated with IKE can be impractical for resource-constrained IoT devices. Consequently, the IETF introduced the concept of IKE-less IPsec. This strategy aims to move the IKE logic from the network nodes to a centralized control point. Therefore, the network device is only required to support IPsec. This paper delves into the potential of the IKE-less approach to enhance security within Software Defined Networks, particularly in IoT scenarios. We analyse in detail the features of IKE-less IPsec and compare it with the traditional IKE approach. Then, we discuss our designed solution to protect the control infrastructure. The proposal leverages established solutions, such as Trusted Execution Environment and Hardware Security Modules, to protect this kind of setup.  Copyright © 2024 for this paper by its authors.;Scopus;
Tree Learning: Towards Promoting Coordination in Scalable Multi-Client Training Acceleration;2024;"Guo T.; Guo S.; Wu F.; Xu W.; Zhang J.; Zhou Q.; Chen Q.; Zhuang W.";IEEE Transactions on Mobile Computing;Iteration based collaborative learning (CL) paradigms, such as federated learning (FL) and split learning (SL), faces challenges in training neural models over the rapidly growing yet resource-constrained edge devices. Such devices have difficulty in accommodating a full-size large model for FL or affording an excessive waiting time for the mandatory synchronization step in SL. To deal with such challenge, we propose a novel CL framework which adopts an tree-aggregation structure with an adaptive partition and ensemble strategy to achieve optimal synchronization and fast convergence at scale. To find the optimal split point for heterogeneous clients, we also design a novel partitioning algorithm by minimizing the idleness during communication and achieving the optimal synchronization between clients. In addition, a parallelism paradigm is proposed to unleash the potential of optimum synchronization between the clients and server to boost the distributed training process without losing model accuracy for edge devices. Furthermore, we theoretically prove that our framework can achieve better convergence rate than state-of-the-art CL paradigms. We conduct extensive experiments and show that our framework is 4.6× in training speed as compared with the traditional methods, without compromising training accuracy.  © 2002-2012 IEEE.;Scopus;10.1109/TMC.2023.3259007
Researching the CNN Collaborative Inference Mechanism for Heterogeneous Edge Devices;2024;"Wang J.; Chen C.; Li S.; Wang C.; Cao X.; Yang L.";Sensors;Convolutional Neural Networks (CNNs) have been widely applied in various edge computing devices based on intelligent sensors. However, due to the high computational demands of CNN tasks, the limited computing resources of edge intelligent terminal devices, and significant architectural differences among these devices, it is challenging for edge devices to independently execute inference tasks locally. Collaborative inference among edge terminal devices can effectively utilize idle computing and storage resources and optimize latency characteristics, thus significantly addressing the challenges posed by the computational intensity of CNNs. This paper targets efficient collaborative execution of CNN inference tasks among heterogeneous and resource-constrained edge terminal devices. We propose a pre-partitioning deployment method for CNNs based on critical operator layers, and optimize the system bottleneck latency during pipeline parallelism using data compression, queuing, and “micro-shifting” techniques. Experimental results demonstrate that our method achieves significant acceleration in CNN inference within heterogeneous environments, improving performance by 71.6% compared to existing popular frameworks. © 2024 by the authors.;Scopus;10.3390/s24134176
Phase Modulation Side Channels: Jittery JTAG for On-Chip Voltage Measurements;2024;O’flynn C.;IACR Transactions on Cryptographic Hardware and Embedded Systems;Measuring fluctuations of the clock phase was identified as a source of leakage in early electromagnetic side-channel investigations. Despite this, only recently was measuring the clock phase (or jitter) of digital signals (not electromagnetic signals) from a target used as a source of exploitable leakage. As the phase of a clock output will be related to signal propagation delay through the target, and this propagation delay is related to voltage, this means that most digital devices perform an unintended phase modulation (PM) of their internal voltage onto clock outputs. This paper first demonstrates an unprofiled CPA attack against a Cortex-M micro-controller using the phase of a clock output, observing the signal on both optically isolated and capacitively isolated paths. The unprofiled attack takes only 2–4× more traces than an attack using a classic shunt-resistor measurement. It is then demonstrated how the JTAG bypass mode can be used to force a clock through a digital device. This forced clock signal can then be used as a highly effective oscilloscope that is located on the target device. As the attack does not require modifications to the device (such as capacitor removal or heat spreader removal) it is difficult to detect using existing countermeasures. The example attack over JTAG uses an unprofiled CPA attack, requiring only about 5× more traces than an ideal shunt-resistor based measurement. In addition, a version of this attack using a fault correlation analysis attack is also demonstrated. Countermeasures are discussed, and a simple resampling countermeasure is tested. All tools both offensive and defensive presented in the paper have been released under open-source licenses. © 2024, Ruhr-University of Bochum. All rights reserved.;Scopus;10.46586/tches.v2024.i4.382-424
Latency-Sensitive Parallel Multi-Path Service Flow Routing With Segmented VNF Processing in NFV-Enabled Networks;2024;"Qu L.; Yu L.; Yu P.; Khabbaz M.J.";IEEE Transactions on Network and Service Management;"In the context of Software Defined Networking (SDN) scenarios, the deployment of multi-path routing has been trending as one of the practical approaches. It serves the two-fold objective of improving the reliability of Service Function Chains (SFCs) and reducing end-to-end delays through parallel processing; this latter being this paper's focal point given it is one of the fundamental objectives of 6G. The literature encloses numerous publications revolving around the exploitation of Virtual Network Function (VNF) duplication and optimal placement to enable parallel processing. However, very little attention has been allocated to segmented VNFs with parallel multi-path data traffic flow routing to catalyze service completion. In reality, the application of segmented task processing is now widely used in our Internet life (e,g, real-time video on Youtube). In order to realize the ultra-low end-to-end delay of SFC, we introduce the segmented VNF processing window and implement VNF processing tasks in batches/windows with multi-path routing. Herein, a novel Parallel Multi-Path service flow Routing with processing Windows (PMPRW) scheme is proposed. The PMPRW is formulated as a Mixed Integer Linear Program (MILP), owing to the complexity of which, a Column-Generation (CG) based framework is developed to generate accurate sub-optimal solutions that achieve the same performance as the optimal solution. In order to accelerate the process and enhance the performance, we propose an extended Column Fixing (CF) strategy to help generate new columns in CG. Extensive simulations are conducted to gauge the merit of PMPRW and demonstrate its superiority (as opposed to single-path routing). PMPRW achieves desirable performance by concurrently reducing the overall end-to-end delay (e.g., 22% through parallel dual-path routing).  © 2004-2012 IEEE.";Scopus;10.1109/TNSM.2023.3328644
Enhancing TinyML-Based Container Escape Detectors with Systemcall Semantic Association in UAVs Networks;2024;"Zheng T.; Qiu Y.; Zheng Y.; Wang Q.; Chen X.";IEEE Internet of Things Journal;The adoption of lightweight container technology enables the cross-architecture deployment of tiny machine learning (TinyML) models, while the implementation of container escape detectors ensures the security of both models and applications. However, a significant challenge faced by TinyML-based detectors is model aging, which leads to a substantial decline in their effectiveness as attack patterns evolve. Most existing approaches address this issue by retraining models through the labeling of new samples. However, this process can be costly and challenging to implement for updating models in resource-constrained UAVs networks. In this article, we begin by analyzing the correlation of threat data and observe that throughout evolution, different versions of container escape attacks tend to maintain semantically identical or similar system calls. This observation prompts us to approach the model aging problem from a novel perspective: if the model can acquire knowledge of these fundamental system calls, it will be capable of effectively detecting emerging new attacks. Based on this perspective, we have developed sysE to capture system call data that remains unchanged or exhibits similarities to container escape attacks during evolution. This augmentation complements six TinyML-based detectors. Experimental results obtained from a large-scale evolving data set demonstrate that our proposed approach effectively mitigates the aging rate of these models, reducing it from 7.3% to 21.5%. Additionally, it significantly decreases the labeling effort required from 28.06% to 65.47%.  © 2014 IEEE.;Scopus;10.1109/JIOT.2024.3361452
Walking on two legs: Joint service placement and computation configuration for provisioning containerized services at edges;2024;"Cao T.; Wang Q.; Zhang Y.; Qian Z.; Zeng Y.; Ji M.; Sun H.; Ye B.";Computer Networks;With the development of edge computing and container virtualization, provisioning containerized services at network edges is proposed for high responsiveness and low wide area network (WAN) traffic. However, realizing its full potential faces multiple challenges. First, due to containers’ fine-grained computation resource isolation, finely configuring services’ computation resource requirements is needed, especially for resource-constrained edge nodes. Second, due to edges’ heterogeneity and services’ diversity, system performance highly depends on which edge node to place each service. Third, as the main metric of quality of service, service response time involves the computing-network delay tradeoff and urges to optimize the decisions jointly. Prior works on edge-enabled service placement either ignore computation resource isolation and configuration, or assume computation resource configuration is given manually. To fill this gap, this paper investigates the joint service placement and computation configuration problem for provisioning containerized services at edges. Then based on the convex and submodular optimization techniques, we propose a two-stage greedy and local-search combined algorithm, TeLa for short. Rigorous theoretical analyses demonstrate that TeLa is a polynomial-time algorithm with performance guarantees. Finally, we implement twelve containerized services and an edge computing prototype to realistically evaluate TeLa. The results confirm TeLa's empirical superiority over state-of-the-art algorithms, in terms of 39% on average reduction on the weighted sum of service response time and WAN traffic. © 2023 Elsevier B.V.;Scopus;10.1016/j.comnet.2023.110144
FLAShadow: A Flash-based Shadow Stack for Low-end Embedded Systems;2024;"Grisafi M.; Ammar M.; Roveri M.; Crispo B.";ACM Transactions on Internet of Things;Runtime attacks are a rising threat to both low- and high-end systems with the spread of techniques such as Return-Oriented Programming (ROP), which aims at hijacking the control flow of vulnerable applications. Although several control flow integrity schemes have been proposed by both academia and the industry, the vast majority of them are not compatible with low-end embedded devices, especially the ones that lack hardware security features.In this article, we propose , a secure shadow stack design and implementation for low-end embedded systems, relying on zero hardware security features. The key idea is to leverage a software-based memory isolation mechanism to establish an integrity-protected memory area on the Flash of the target device, where can be securely maintained. exclusively reserves a register for maintaining the integrity of the stack pointer and also depends on a minimal trusted runtime component to avoid trusting the compiler toolchain. We evaluate an open-source implementation of for the MSP430 architecture, showing an average performance and memory overhead of 168.58% and 25.91%, respectively. While the average performance overhead is considered high, we show that it is application dependent and incurs less than 5% for some applications. © 2024 Copyright held by the owner/author(s).;Scopus;10.1145/3670413
HW/SW Collaborative Techniques for Accelerating TinyML Inference Time at No Cost;2024;"Sun B.; Hassan M.";Proceedings - 2024 27th Euromicro Conference on Digital System Design, DSD 2024;With the unprecedented boom in TinyML development, optimizing Artificial Intelligence (AI) inference on resource-constrained microcontrollers (M CU s) is of paramount importance. Most of the existing works focus on peak memory or computation reduction. The tasks are partitioned in the patch-based or device-based during the execution. However, it comes with a price of the latency and communication overhead. In this paper, we propose several techniques to accelerate the Convolutional Neural Networks (CNN s) inference process. These techniques are both architecture- and application-aware. From the application perspective, 1) we maximize computation reuse through instruction reordering, 2) fuse several linear layers together to improve computation patterns, and 3) enable memory reuse of intermediate buffers for improving memory behavior. From the architecture perspective, we propose techniques that take into account knowledge about underlying architecture of the MCU including 1) cache-aware and 2) multi-core parallelism-aware techniques. Those solutions only require the general MCUs features thus demonstrating board generalization across various networks and devices. These techniques come at no additional cost. It improve the inference latency without any compromise of the model accuracy or the model size. Our evaluation on a use-case from the health-care domain with real-data set for four CNNs - LeNet, AlexNet, ResNet20, and SqueezeNet - show that we achieve up to 71 % reduction in inference latency. © 2024 IEEE.;Scopus;10.1109/DSD64264.2024.00074
The Omnivisor: A Real-Time Static Partitioning Hypervisor Extension for Heterogeneous Core Virtualization over MPSoCs;2024;"Ottaviano D.; Ciraolo F.; Mancuso R.; Cinque M.";Leibniz International Proceedings in Informatics, LIPIcs;Following the needs of industrial applications, virtualization has emerged as one of the most effective approaches for the consolidation of mixed-criticality systems while meeting tight constraints in terms of space, weight, power, and cost (SWaP-C). In embedded platforms with homogeneous processors, a wealth of works have proposed designs and techniques to enforce spatio-temporal isolation by leveraging well-understood virtualization support. Unfortunately, achieving the same goal on heterogeneous MultiProcessor Systems-on-Chip (MPSoCs) has been largely overlooked. Modern hypervisors are designed to operate exclusively on main cores, with little or no consideration given to other co-processors within the system, such as small microcontroller-level CPUs or soft-cores deployed on programmable logic (FPGA). Typically, hypervisors consider co-processors as I/O devices allocated to virtual machines that run on primary cores, yielding full control and responsibility over them. Nevertheless, inadequate management of these resources can lead to spatio-temporal isolation issues within the system. In this paper, we propose the Omnivisor model as a paradigm for the holistic management of heterogeneous platforms. The model generalizes the features of real-time static partitioning hypervisors to enable the execution of virtual machines on processors with different Instruction Set Architectures (ISAs) within the same MPSoC. Moreover, the Omnivisor ensures temporal and spatial isolation between virtual machines by integrating and leveraging a variety of hardware and software protection mechanisms. The presented approach not only expands the scope of virtualization in MPSoCs but also enhances the overall system reliability and real-time performance for mixed-criticality applications. A full open-source reference implementation of the Omnivisor based on the Jailhouse hypervisor is provided, targeting ARM real-time processing units and RISC-V soft-cores on FPGA. Experimental results on real hardware show the benefits of the solution, including enabling the seamless launch of virtual machines on different ISAs and extending spatial/temporal isolation to heterogenous cores with enhanced regulation policies. © Daniele Ottaviano, Francesco Ciraolo, Renato Mancuso, and Marcello Cinque.;Scopus;10.4230/LIPIcs.ECRTS.2024.7
Controller of Pneumatic Muscles Implemented in Active Seat Suspension;2024;"Maciejewski I.; Pecolt S.; Błażejewski A.; Krzyzynski T.; Glowinski S.";Applied Sciences (Switzerland);In this work, we present a study on seat suspension technology that integrates pneumatic muscles, marking a significant advancement in active vibration control. This innovative approach addresses the limitations of traditional suspension systems, providing enhanced comfort and adaptability. A key achievement is the development of a mathematical model for controlling horizontal seat vibration, which serves as a valuable design tool for evaluating seat suspension under various conditions and control strategies. The creation of a custom microcontroller, benchmarked against a standard from National Instruments, highlights the practical applications of this research. Positive results suggest a promising future for this technology in industrial settings, where vibration reduction is critical. The system’s scalability and user-adjustable signal levels further enhance its potential for widespread industrial adoption. © 2024 by the authors.;Scopus;10.3390/app14146385
Bitmap-Based Security Monitoring for Deeply Embedded Systems;2024;"Peng A.; Fang D.; Guan L.; van der Kouwe E.; Li Y.; Wang W.; Sun L.; Zhang Y.";ACM Transactions on Software Engineering and Methodology;Deeply embedded systems powered by microcontrollers are becoming popular with the emergence of Internet-of-Things (IoT) technology. However, these devices primarily run C/C++ code and are susceptible to memory bugs, which can potentially lead to both control data attacks and non-control data attacks. Existing defense mechanisms (such as control-flow integrity (CFI), dataflow integrity (DFI) and write integrity testing (WIT), etc.) consume a massive amount of resources, making them less practical in real products. To make it lightweight, we design a bitmap-based allowlist mechanism to unify the storage of the runtime data for protecting both control data and non-control data. The memory requirements are constant and small, regardless of the number of deployed defense mechanisms. We store the allowlist in the TrustZone to ensure its integrity and confidentiality. Meanwhile, we perform an offline analysis to detect potential collisions and make corresponding adjustments when it happens. We have implemented our idea on an ARM Cortex-M-based development board. Our evaluation results show a substantial reduction in memory consumption when deploying the proposed CFI and DFI mechanisms, without compromising runtime performance. Specifically, our prototype enforces CFI and DFI at a cost of just 2.09% performance overhead and 32.56% memory overhead on average. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.;Scopus;10.1145/3672460
Learning-Based Edge-Device Collaborative DNN Inference in IoVT Networks;2024;"Xu X.; Yan K.; Han S.; Wang B.; Tao X.; Zhang P.";IEEE Internet of Things Journal;Deep neural network (DNN) is a promising technology for Internet of Visual Things (IoVT) devices to extrct their visual information from unstructured data. However, it is hard to deploy a complete DNN model at resource-constrained IoVT devices to fulfill their latency, energy, and inference accuracy demands. Exploiting the reachable and available computing resources of IoVT devices and mobile-edge computing (MEC) servers, we propose an edge-device collaborative DNN inference framework to empower resource-constrained IoVT devices to perform DNN-based inference. Especially, the DNN model partition separates the DNN model into two parts, which are deployed on both the IoVT devices and multiaccess MEC server for performing inference collaboratively. The DNN early exit and computation resource allocation are employed to accelerate the DNN inference while guaranteeing the inference accuracy. Moreover, a metric to measure the inference performance of average latency and accuracy (IPLA) is designed. Joint multiuser DNN partitioning, early exit point selection, and computation resource allocation are optimized to maximize the tradeoff performance of inference latency and accuracy. We model the optimized problem as an Markov decision process and propose a deep deterministic policy gradient-based edge-device collaborative DNN inference algorithm to solve the problem of huge state space and high-dimensional continuous actions. Experiments are conducted with the Alexnet model on the data set of CIFAR-10 and Resnet-50 model on the data set of ImageNet. Simulation results verify that the proposed algorithm speeds up the overall inference execution of IoVT devices while guaranteeing inference accuracy.  © 2014 IEEE.;Scopus;10.1109/JIOT.2023.3317785
36th Euromicro Conference on Real-Time Systems, ECRTS 2024;2024;;Leibniz International Proceedings in Informatics, LIPIcs;"The proceedings contain 17 papers. The topics discussed include: JuMP2start: time-aware stop-start technology for a software-defined vehicle system; SlackCheck: a Linux kernel module to verify temporal properties of a task schedule; reachability-based response-time analysis of preemptive tasks under global scheduling; tighter worst-case response time bounds for jitter-based self-suspension analysis; shared resource contention in MCUs: a reality check and the quest for timeliness; the Omnivisor: a real-time static partitioning hypervisor extension for heterogeneous core virtualization over MPSoCs; deadline miss early detection method for DAG tasks considering variable execution time; switching between left and right continuity in network calculus; and open problem resolved: the ‘two’ in existing multiprocessor Pi-blocking bounds is fundamental.";Scopus;
Structured segment rescaling with Gaussian processes for parameter efficient ConvNets;2024;"Siddiqui B.; Alaeddini A.; Zhu D.";Journal of Systems Architecture;We introduce a novel mechanism for structured pruning on ConvNet blocks and channels. Our mechanism, Structured Segment Rescaling (SSR) down-samples a ConvNet's dimensions using depth and width modifiers that respectively remove whole blocks and channels. SSR is a systematic approach for constructing ConvNets that can replace arbitrary design heuristics. The SSR modifiers rescale logical partitions (segments) of a ConvNet with grouped layers. Different modifiers on segments yield many different architectures with unique rescales for their blocks. This diversity of architectures is then systemically explored using a Gaussian Process (GP) that optimizes for modifiers that maintain accuracy and reduce parameters. We analyze SSR in the context of resource constrained environments using ResNets trained on the CIFAR datasets. An initial set of depth and width modifiers explore extreme rescales of ResNet segments, where we find up to 70% parameter reduction. The GP then generalizes on these initial rescales by being trained on them and then predicts the accuracy of other rescaled ConvNet given their segment modifiers. SSR produces over 105 ConvNets that can be trained selectively based on their GP predicted accuracy. The GP enabled SSR pushes compression to over 80% with minimal accuracy impact. While both depth and width modifiers can reduce parameters, we show reducing blocks is better for reducing latency with up to 80% faster ConvNets. Using our mechanism, we can efficiently customize ConvNets using their parameter-accuracy trade-offs. SSR only requires 101 GPU hours and modest engineering to yield efficient new ConvNets that can facilitate edge inference. © 2024 Elsevier B.V.;Scopus;10.1016/j.sysarc.2024.103246
Intellectual Property Exposure: Subverting and Securing Intellectual Property Encapsulation in Texas Instruments Microcontrollers;2024;"Bognar M.; Magnus C.; Piessens F.; Van Bulck J.";Proceedings of the 33rd USENIX Security Symposium;In contrast to high-end computing platforms, specialized memory protection features in low-end embedded devices remain relatively unexplored despite the ubiquity of these devices. Hence, we perform an in-depth security evaluation of the state-of-the-art Intellectual Property Encapsulation (IPE) technology found in widely used off-the-shelf, Texas Instruments MSP430 microcontrollers. While we find IPE to be promising, bearing remarkable similarities with trusted execution environments (TEEs) from research and industry, we reveal several fundamental protection shortcomings in current IPE hardware. We show that many software-level attack techniques from the academic TEE literature apply to this platform, and we discover a novel attack primitive, dubbed controlled call corruption, exploiting a vulnerability in the IPE access control mechanism. Our practical, end-to-end attack scenarios demonstrate a complete bypass of confidentiality and integrity guarantees of IPE-protected programs. Informed by our systematic attack study on IPE and root-cause analysis, also considering related research prototypes, we propose lightweight hardware changes to secure IPE. Furthermore, we develop a prototype framework that transparently implements software responsibilities to reduce information leakage and repurposes the onboard memory protection unit to reinstate IPE security guarantees on currently vulnerable devices with low performance overheads. © USENIX Security Symposium 2024.All rights reserved.;Scopus;
